Timestamp;Feeder1;Feeder2;Temperature
2018-04-03T06:00:00+02:00[Europe/Luxembourg];639;1187;14
2018-04-03T06:15:00+02:00[Europe/Luxembourg];6;1314;14
2018-04-03T06:30:00+02:00[Europe/Luxembourg];408;1467;15
2018-04-03T06:45:00+02:00[Europe/Luxembourg];537;1452;15
2018-04-03T07:00:00+02:00[Europe/Luxembourg];542;1494;15
2018-04-03T07:15:00+02:00[Europe/Luxembourg];225;1535;16
2018-04-03T07:30:00+02:00[Europe/Luxembourg];315;1697;16
2018-04-03T07:45:00+02:00[Europe/Luxembourg];662;1759;16
2018-04-03T08:00:00+02:00[Europe/Luxembourg];1286;1772;17
2018-04-03T08:15:00+02:00[Europe/Luxembourg];1290;1804;17
2018-04-03T08:30:00+02:00[Europe/Luxembourg];702;1906;17
2018-04-03T08:45:00+02:00[Europe/Luxembourg];495;1970;18
2018-04-03T09:00:00+02:00[Europe/Luxembourg];503;2006;18
2018-04-03T09:15:00+02:00[Europe/Luxembourg];550;1989;18
2018-04-03T09:30:00+02:00[Europe/Luxembourg];585;2062;18
2018-04-03T09:45:00+02:00[Europe/Luxembourg];668;2054;19
2018-04-03T10:00:00+02:00[Europe/Luxembourg];1450;2075;19
2018-04-03T10:15:00+02:00[Europe/Luxembourg];1489;2145;19
2018-04-03T10:30:00+02:00[Europe/Luxembourg];1125;2173;19
2018-04-03T10:45:00+02:00[Europe/Luxembourg];657;2201;19
2018-04-03T11:00:00+02:00[Europe/Luxembourg];674;2183;19
2018-04-03T11:15:00+02:00[Europe/Luxembourg];623;2197;19
2018-04-03T11:30:00+02:00[Europe/Luxembourg];672;2189;19
2018-04-03T11:45:00+02:00[Europe/Luxembourg];1325;2191;19
2018-04-03T12:00:00+02:00[Europe/Luxembourg];1501;2164;19
2018-04-03T12:15:00+02:00[Europe/Luxembourg];1189;2152;19
2018-04-03T12:30:00+02:00[Europe/Luxembourg];594;2118;19
2018-04-03T12:45:00+02:00[Europe/Luxembourg];618;2136;19
2018-04-03T13:00:00+02:00[Europe/Luxembourg];675;2119;19
2018-04-03T13:15:00+02:00[Europe/Luxembourg];1174;2156;19
2018-04-03T13:30:00+02:00[Europe/Luxembourg];1509;2101;19
2018-04-03T13:45:00+02:00[Europe/Luxembourg];1314;2114;19
2018-04-03T14:00:00+02:00[Europe/Luxembourg];675;2088;19
2018-04-03T14:15:00+02:00[Europe/Luxembourg];637;2063;19
2018-04-03T14:30:00+02:00[Europe/Luxembourg];612;2015;18
2018-04-03T14:45:00+02:00[Europe/Luxembourg];763;2031;18
2018-04-03T15:00:00+02:00[Europe/Luxembourg];1378;2006;18
2018-04-03T15:15:00+02:00[Europe/Luxembourg];1391;1952;18
2018-04-03T15:30:00+02:00[Europe/Luxembourg];706;1902;17
2018-04-03T15:45:00+02:00[Europe/Luxembourg];498;1890;17
2018-04-03T16:00:00+02:00[Europe/Luxembourg];441;1833;17
2018-04-03T16:15:00+02:00[Europe/Luxembourg];438;1893;16
2018-04-03T16:30:00+02:00[Europe/Luxembourg];1161;1837;16
2018-04-03T16:45:00+02:00[Europe/Luxembourg];1213;1821;16
2018-04-03T17:00:00+02:00[Europe/Luxembourg];764;1764;15
2018-04-03T17:15:00+02:00[Europe/Luxembourg];300;1758;15
2018-04-03T17:30:00+02:00[Europe/Luxembourg];244;1717;15
2018-04-03T17:45:00+02:00[Europe/Luxembourg];704;1750;14
2018-04-03T18:00:00+02:00[Europe/Luxembourg];1044;1715;14
2018-04-03T18:15:00+02:00[Europe/Luxembourg];928;1640;13
2018-04-03T18:30:00+02:00[Europe/Luxembourg];248;1621;13
2018-04-03T18:45:00+02:00[Europe/Luxembourg];465;1593;12
2018-04-03T19:00:00+02:00[Europe/Luxembourg];609;1536;12
2018-04-03T19:15:00+02:00[Europe/Luxembourg];538;1333;11
2018-04-03T19:30:00+02:00[Europe/Luxembourg];429;1309;11
2018-04-03T19:45:00+02:00[Europe/Luxembourg];402;1336;10
2018-04-03T20:00:00+02:00[Europe/Luxembourg];368;1312;9
2018-04-03T20:15:00+02:00[Europe/Luxembourg];993;1281;9
2018-04-03T20:30:00+02:00[Europe/Luxembourg];1057;1300;8
2018-04-03T20:45:00+02:00[Europe/Luxembourg];1048;1281;8
2018-04-03T21:00:00+02:00[Europe/Luxembourg];1030;1288;7
2018-04-03T21:15:00+02:00[Europe/Luxembourg];1003;1208;7
2018-04-03T21:30:00+02:00[Europe/Luxembourg];977;1216;6
2018-04-03T21:45:00+02:00[Europe/Luxembourg];951;1182;5
2018-04-03T22:00:00+02:00[Europe/Luxembourg];919;1138;5
2018-04-03T22:15:00+02:00[Europe/Luxembourg];911;1131;4
2018-04-03T22:30:00+02:00[Europe/Luxembourg];851;1103;3
2018-04-03T22:45:00+02:00[Europe/Luxembourg];863;1050;3
2018-04-03T23:00:00+02:00[Europe/Luxembourg];851;1027;2
2018-04-03T23:15:00+02:00[Europe/Luxembourg];825;1032;1
2018-04-03T23:30:00+02:00[Europe/Luxembourg];804;999;1
2018-04-03T23:45:00+02:00[Europe/Luxembourg];813;979;0
2018-04-04T00:00:00+02:00[Europe/Luxembourg];753;972;0
2018-04-04T00:15:00+02:00[Europe/Luxembourg];756;965;0
2018-04-04T00:30:00+02:00[Europe/Luxembourg];795;954;1
2018-04-04T00:45:00+02:00[Europe/Luxembourg];779;916;1
2018-04-04T01:00:00+02:00[Europe/Luxembourg];774;905;2
2018-04-04T01:15:00+02:00[Europe/Luxembourg];760;890;3
2018-04-04T01:30:00+02:00[Europe/Luxembourg];742;878;3
2018-04-04T01:45:00+02:00[Europe/Luxembourg];745;878;4
2018-04-04T02:00:00+02:00[Europe/Luxembourg];736;891;5
2018-04-04T02:15:00+02:00[Europe/Luxembourg];716;903;5
2018-04-04T02:30:00+02:00[Europe/Luxembourg];725;890;6
2018-04-04T02:45:00+02:00[Europe/Luxembourg];742;870;7
2018-04-04T03:00:00+02:00[Europe/Luxembourg];718;892;7
2018-04-04T03:15:00+02:00[Europe/Luxembourg];742;904;8
2018-04-04T03:30:00+02:00[Europe/Luxembourg];771;912;8
2018-04-04T03:45:00+02:00[Europe/Luxembourg];742;891;9
2018-04-04T04:00:00+02:00[Europe/Luxembourg];755;898;10
2018-04-04T04:15:00+02:00[Europe/Luxembourg];720;903;10
2018-04-04T04:30:00+02:00[Europe/Luxembourg];776;908;11
2018-04-04T04:45:00+02:00[Europe/Luxembourg];766;919;11
2018-04-04T05:00:00+02:00[Europe/Luxembourg];775;1015;12
2018-04-04T05:15:00+02:00[Europe/Luxembourg];806;1190;12
2018-04-04T05:30:00+02:00[Europe/Luxembourg];794;1194;13
2018-04-04T05:45:00+02:00[Europe/Luxembourg];803;1170;13
2018-04-04T06:00:00+02:00[Europe/Luxembourg];590;1226;14
2018-04-04T06:15:00+02:00[Europe/Luxembourg];127;1422;14
2018-04-04T06:30:00+02:00[Europe/Luxembourg];148;1520;15
2018-04-04T06:45:00+02:00[Europe/Luxembourg];164;1540;15
2018-04-04T07:00:00+02:00[Europe/Luxembourg];246;1596;15
2018-04-04T07:15:00+02:00[Europe/Luxembourg];373;1618;16
2018-04-04T07:30:00+02:00[Europe/Luxembourg];466;1712;16
2018-04-04T07:45:00+02:00[Europe/Luxembourg];450;1744;16
2018-04-04T08:00:00+02:00[Europe/Luxembourg];486;1817;17
2018-04-04T08:15:00+02:00[Europe/Luxembourg];1203;1891;17
2018-04-04T08:30:00+02:00[Europe/Luxembourg];1497;1901;17
2018-04-04T08:45:00+02:00[Europe/Luxembourg];1339;1919;18
2018-04-04T09:00:00+02:00[Europe/Luxembourg];751;1998;18
2018-04-04T09:15:00+02:00[Europe/Luxembourg];762;2058;18
2018-04-04T09:30:00+02:00[Europe/Luxembourg];702;2078;18
2018-04-04T09:45:00+02:00[Europe/Luxembourg];677;2092;19
2018-04-04T10:00:00+02:00[Europe/Luxembourg];784;2074;19
2018-04-04T10:15:00+02:00[Europe/Luxembourg];1601;2081;19
2018-04-04T10:30:00+02:00[Europe/Luxembourg];1657;2155;19
2018-04-04T10:45:00+02:00[Europe/Luxembourg];1111;2202;19
2018-04-04T11:00:00+02:00[Europe/Luxembourg];722;2200;19
2018-04-04T11:15:00+02:00[Europe/Luxembourg];697;2235;19
2018-04-04T11:30:00+02:00[Europe/Luxembourg];761;2196;19
2018-04-04T11:45:00+02:00[Europe/Luxembourg];806;2163;19
2018-04-04T12:00:00+02:00[Europe/Luxembourg];1539;2182;19
2018-04-04T12:15:00+02:00[Europe/Luxembourg];1610;2185;19
2018-04-04T12:30:00+02:00[Europe/Luxembourg];1168;2196;19
2018-04-04T12:45:00+02:00[Europe/Luxembourg];662;2162;19
2018-04-04T13:00:00+02:00[Europe/Luxembourg];678;2151;19
2018-04-04T13:15:00+02:00[Europe/Luxembourg];691;2172;19
2018-04-04T13:30:00+02:00[Europe/Luxembourg];705;2195;19
2018-04-04T13:45:00+02:00[Europe/Luxembourg];1182;2184;19
2018-04-04T14:00:00+02:00[Europe/Luxembourg];1538;2140;19
2018-04-04T14:15:00+02:00[Europe/Luxembourg];1378;2096;19
2018-04-04T14:30:00+02:00[Europe/Luxembourg];720;2018;18
2018-04-04T14:45:00+02:00[Europe/Luxembourg];598;1980;18
2018-04-04T15:00:00+02:00[Europe/Luxembourg];616;1983;18
2018-04-04T15:15:00+02:00[Europe/Luxembourg];620;1960;18
2018-04-04T15:30:00+02:00[Europe/Luxembourg];848;1938;17
2018-04-04T15:45:00+02:00[Europe/Luxembourg];1369;1878;17
2018-04-04T16:00:00+02:00[Europe/Luxembourg];1310;1850;17
2018-04-04T16:15:00+02:00[Europe/Luxembourg];585;1827;16
2018-04-04T16:30:00+02:00[Europe/Luxembourg];368;1828;16
2018-04-04T16:45:00+02:00[Europe/Luxembourg];319;1809;16
2018-04-04T17:00:00+02:00[Europe/Luxembourg];395;1799;15
2018-04-04T17:15:00+02:00[Europe/Luxembourg];1044;1742;15
2018-04-04T17:30:00+02:00[Europe/Luxembourg];1015;1731;15
2018-04-04T17:45:00+02:00[Europe/Luxembourg];551;1757;14
2018-04-04T18:00:00+02:00[Europe/Luxembourg];313;1693;14
2018-04-04T18:15:00+02:00[Europe/Luxembourg];604;1655;13
2018-04-04T18:30:00+02:00[Europe/Luxembourg];502;1612;13
2018-04-04T18:45:00+02:00[Europe/Luxembourg];105;1588;12
